JOB_TITLE,JOB_CODE
"TECHNICAL INSTRUCTIONAL ASSISTANT, CHEMISTRY",2447
"TECHNICAL INSTRUCTIONAL ASSISTANT, LANGUAGE LABORATORY",3538
"TECHNICAL INSTRUCTIONAL ASSISTANT, PERFORMING ARTS",3536
"TECHNICAL INSTRUCTIONAL ASSISTANT,-GUIDANCE AIDE",3599
TECHNOLOGY EXPERT I,9976
TECHNOLOGY EXPERT II,9978
TELECOMMUNICATION SUPERVISOR,7132
TELECOMMUNICATIONS TECHNICIAN SUPERVISOR,7275
TELEPHONE OPERATOR,1706
TESTING TECHNICIAN,1227
THERAPY AIDE,2554
TILE SETTER,7378
TOOL ROOM MECHANIC AND CUSTODIAN,7441
"TRACK MAINTENANCE SUPERINTENDENT, MUNICIPAL RAILWAY",7283
TRACK MAINTENANCE WORKER,7540
TRACK MAINTENANCE WORKER SUPERVISOR I,7251
TRAFFIC SIGN MANAGER,5306
TRAFFIC SIGNAL ELECTRICIAN,9145
TRAFFIC SIGNAL ELECTRICIAN SUPERVISOR I,9147
TRAFFIC SIGNAL ELECTRICIAN SUPERVISOR II,9149
TRAFFIC SIGNAL OPERATOR,7454
TRAFFIC SURVEY TECHNICIAN,5302
TRAIN CONTROLLER,9150
TRAINING COORDINATOR,1237
TRAINING OFFICER,1232
TRANSCRIBER TYPIST,1430
TRANSIT CAR CLEANER,9102
TRANSIT CAR CLEANER ASSISTANT SUPERVISOR,9104
TRANSIT FARE INSPECTOR,9132
TRANSIT FARE INSPECTOR SUPERVISOR/INVESTIGATOR,8121
TRANSIT INFORMATION CLERK,9122
TRANSIT MANAGER I,9140
TRANSIT MANAGER II,9141
TRANSIT MANAGER III,9142
TRANSIT OPERATOR,9163
TRANSIT PAINT SHOP SUPERVISOR I,7225
TRANSIT POWER CABLE SPLICER,7310
TRANSIT POWER LINE SUPERVISOR I,7235
TRANSIT POWER LINE WORKER,7366
TRANSIT POWER LINE WORKER SUPERVISOR II,7274
TRANSIT REVENUE SUPERVISOR,9118
TRANSIT SUPERVISOR,9139
TRANSIT TRAFFIC CHECKER,9126
TRANSITIONAL DEPARTMENT HEAD,971
TRANSMISSION AND DISTRIBUTION LINE WORKER,7350
TRANSMISSION LINE SUPERVISOR I,7229
TRANSMISSION LINE WORKER SUPERVISOR II,7285
TRANSPORTATION CONTROLLER,9153
TRANSPORTATION CONTROLLER TRAINEE,9152
TRANSPORTATION OPERATIONS SPECIALIST,9160
TRANSPORTATION PLANNER II,5288
TRANSPORTATION PLANNER III,5289
TRANSPORTATION PLANNER IV,5290
TRANSPORTATION SAFETY SPECIALIST,9520
TREASURER,4390
TRUCK DRIVER,7355
UNDERSHERIFF,8348
UNDERSHERIFF (SFERS),8518
UNIT CLERK,1428
URBAN FORESTRY INSPECTOR,3435
UTILITY ANALYST,5601
UTILITY PLUMBER,7388
UTILITY PLUMBER APPRENTICE I,7463
UTILITY PLUMBER APPRENTICE II,7464
UTILITY PLUMBER SUPERVISOR I,7250
UTILITY PLUMBER SUPERVISOR II,7284
UTILITY SPECIALIST,5602
VETERINARY LABORATORY TECHNOLOGIST,2440
VICTIM & WITNESS TECHNICIAN,8104
VICTIM/WITNESS INVESTIGATOR I,8129
VICTIM/WITNESS INVESTIGATOR II,8131
VICTIM/WITNESS INVESTIGATOR III,8133
VOLUNTEER/OUTREACH COORDINATOR,3374
WAREHOUSE WORKER,1930
WASTEWATER CONTROL INSPECTOR,6115
WATER AND POWER MAINTENANCE SUPERVISOR I,7259
WATER CONSERVATION ADMINISTRATOR,1839
WATER CONSTRUCTION AND MAINTENANCE SUPERINTENDENT,7134
WATER METER REPAIRER,7353
WATER METER SHOP SUPERVISOR I,7240
WATER OPERATIONS ANALYST,5148
WATER QUALITY TECHNICIAN,2481
WATER QUALITY TECHNICIAN III,2482
WATER SERVICE INSPECTOR,7316
WATER SHOPS AND EQUIPMENT SUPERINTENDENT,7136
WATERSHED FORESTER,3486
WATERSHED KEEPER,7470
WATERSHED KEEPER SUPERVISOR,7270
WATERSHED WORKER (SEASONAL),7542
WELDER,7390
WELFARE FRAUD INVESTIGATOR,2966
WHARFINGER I,9355
WHARFINGER II,9356
WINDOW CLEANER,7392
WINDOW CLEANER SUPERVISOR,7268
WIRE ROPE CABLE MAINTENANCE MECHANIC,7472
WIRE ROPE CABLE MAINTENANCE MECHANIC TRAINEE,7473
WIRE ROPE CABLE MAINTENANCE SUPERVISOR,7286
WORKERS COMPENSATION ADJUSTER,8141
WORKERS COMPENSATION SUPERVISOR I,8165
YOUTH COMMISSION ADVISOR,1130
